,secs_stamp,text,max_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
477,2122,I know that you're going with him because it's where Thanos isn't.,Neutral,0,0,0,0,0,0,0,0
478,2125,"You know, you really shouldn't talk that way to your captain, Quill.",Neutral,0,0,0,0,0,0,0,0
479,2130,"Come on, Groot.",Neutral,0,0,0,0,0,0,0,0
480,2131,Put that game down. You'll rot your brain.,disgust,0,0,1,1,0,1,0,0
481,2138,"I bid you farewell and good luck, morons.",anticipation,0,2,0,0,2,0,2,1
482,2141,Bye.,anticipation,0,1,0,0,0,0,0,0
483,2157,Vis?,Neutral,0,0,0,0,0,0,0,0
484,2158,Is it the stone again?,anger,1,0,0,0,0,0,0,0
485,2161,It's as if it's speaking to me.,Neutral,0,0,0,0,0,0,0,0
486,2163,What does it say?,Neutral,0,0,0,0,0,0,0,0
487,2165,"I don't know, but something.",Neutral,0,0,0,0,0,0,0,0
488,2170,Hey.,Neutral,0,0,0,0,0,0,0,0
489,2181,Tell me what you feel.,Neutral,0,0,0,0,0,0,0,0
490,2191,I just feel you.,Neutral,0,0,0,0,0,0,0,0
491,2202,So there's a 10:00 a.m. to Glasgow...,Neutral,0,0,0,0,0,0,0,0
492,2204,which would give us more time together before you went back.,anticipation,0,1,0,0,0,0,0,0
493,2206,What if I miss that train?,Neutral,0,0,0,0,0,0,0,0
494,2207,There's an 11:00.,Neutral,0,0,0,0,0,0,0,0
495,2209,What if I missed all the trains?,Neutral,0,0,0,0,0,0,0,0
496,2212,What if this time I didn't go back?,anticipation,0,1,0,0,0,0,0,0
497,2214,But you gave Stark your word.,trust,0,0,0,0,0,0,0,2
498,2216,I'd rather give it to you.,Neutral,0,0,0,0,0,0,0,0
499,2217,"Well, there are people who are expecting me too, you know.",anticipation,0,1,0,0,0,0,1,1
500,2219,We both made promises.,joy,0,0,0,0,1,0,0,1
501,2221,Not to each other.,Neutral,0,0,0,0,0,0,0,0
502,2223,Wanda.,Neutral,0,0,0,0,0,0,0,0
503,2225,"For two years, we've stolen these moments...",anger,1,0,0,1,0,1,0,0
504,2227,trying to see if this could work and...,Neutral,0,0,0,0,0,0,0,0
505,2229,I don't know.,Neutral,0,0,0,0,0,0,0,0
506,2231,"You know what, I'm just gonna speak for myself.",Neutral,0,0,0,0,0,0,0,0
507,2234,I think...,Neutral,0,0,0,0,0,0,0,0
508,2235,- It works. - It works.,Neutral,0,0,0,0,0,0,0,0
509,2236,It works.,Neutral,0,0,0,0,0,0,0,0
